Blood group antigen proteins	CD markers	Cancer-related genes	Candidate cardiovascular disease genes	Citric acid cycle related proteins	Disease related genes	Enzymes	FDA approved drug targets	G-protein coupled receptors	Nuclear receptors	Plasma proteins	Potential drug targets	Predicted intracellular proteins	Predicted membrane proteins	Predicted secreted proteins	RAS pathway related proteins	RNA polymerase related proteins	Ribosomal proteins	Transcription factors	Transporters	Voltage-gated ion channels
0	11	49	6	2	104	91	15	15	1	94	41	382	134	76	3	1	2	40	29	0
2	12	46	3	0	95	96	26	27	1	96	33	376	139	66	4	1	7	29	38	4
0	10	46	3	1	97	99	22	23	1	91	36	377	136	76	5	1	4	34	30	8
1	5	44	5	0	100	85	20	19	1	81	30	377	132	74	5	2	8	36	29	6
0	6	42	2	1	98	78	19	19	0	90	29	377	130	71	13	0	3	34	27	2
1	9	47	6	0	85	72	16	21	1	110	23	379	132	89	3	0	11	44	27	2
1	7	36	5	1	94	91	12	18	0	113	25	369	141	77	6	0	3	34	33	3
0	10	47	4	0	90	81	17	23	4	86	28	363	144	73	5	1	5	50	32	2
2	8	32	3	0	81	112	11	17	2	93	26	383	128	73	6	1	4	34	19	3
1	10	41	3	3	94	98	18	26	4	107	36	383	136	64	3	1	4	45	39	4
1	9	37	5	1	97	67	23	27	2	93	27	371	140	79	2	1	2	36	27	5
0	10	49	4	0	108	97	14	15	1	90	42	368	137	71	8	1	2	35	30	6
0	18	55	4	1	96	76	16	18	0	89	24	386	141	57	7	2	6	32	36	2
1	9	44	2	0	90	77	23	22	2	76	25	366	153	76	7	1	2	41	38	5
2	7	52	6	0	89	91	15	19	3	101	39	360	133	87	7	2	4	21	32	2
0	9	54	4	1	90	95	13	16	1	80	33	368	140	77	9	1	4	52	25	3
1	13	53	6	3	88	98	27	21	0	102	34	366	139	73	7	1	3	32	28	3
1	6	40	1	0	101	84	19	14	3	103	28	383	134	75	4	1	5	35	24	3
1	6	35	3	1	100	91	15	18	0	99	31	389	130	68	11	2	4	34	30	1
0	12	52	6	0	114	85	18	20	2	93	36	367	151	69	5	2	4	47	37	2
0	8	39	3	0	104	85	16	19	2	103	33	372	138	71	6	1	5	47	32	2
3	12	37	2	0	103	74	17	19	2	96	31	367	151	73	6	2	3	33	32	6
0	8	38	2	1	84	77	10	26	2	87	28	371	135	74	8	1	5	35	25	1
2	10	50	3	0	93	105	16	17	3	102	37	370	150	71	3	1	9	33	29	3
1	17	35	2	1	98	84	18	14	1	78	31	381	127	72	3	0	3	43	38	2
0	9	48	5	0	98	85	19	14	1	94	36	372	146	70	10	1	4	29	36	1
1	8	51	9	0	105	84	22	21	4	104	34	377	131	74	5	0	5	41	34	4
1	8	39	4	1	82	80	22	19	3	83	28	365	150	68	6	2	6	37	35	5
1	12	49	6	0	114	92	24	17	1	96	40	384	141	64	11	1	4	44	36	5
0	8	40	7	0	94	94	12	9	0	85	32	377	134	73	7	0	3	46	25	1
2	16	37	5	0	98	74	15	21	0	91	26	370	135	87	4	3	4	33	30	2
3	6	43	5	1	96	85	19	20	3	85	31	377	132	80	13	0	7	35	38	6
0	11	33	4	0	92	72	16	22	1	91	31	386	139	69	2	0	3	27	33	3
0	12	38	4	3	99	103	21	19	3	101	27	388	126	60	6	1	6	44	27	1
1	14	44	2	3	92	92	14	17	1	110	36	386	128	76	6	1	5	42	27	1
1	10	42	2	1	100	89	14	19	2	95	33	365	141	87	7	1	5	38	38	2
1	8	41	8	1	97	106	12	16	1	117	39	370	145	79	1	0	3	36	36	5
1	11	41	3	1	86	76	19	20	1	94	27	382	144	76	4	2	3	36	29	1
0	7	45	4	0	100	81	15	23	1	101	28	369	131	79	5	0	1	45	34	1
2	11	37	6	1	95	80	22	26	0	117	24	368	150	67	8	0	1	36	40	4
0	11	46	5	1	97	79	18	20	1	87	34	365	145	73	7	1	3	39	34	4
1	12	42	4	1	85	90	14	13	0	100	32	373	128	74	6	0	2	47	34	9
2	8	46	5	3	90	80	20	22	2	90	28	380	122	64	7	1	3	35	24	3
0	12	35	2	1	86	87	25	23	1	81	22	375	147	76	3	1	5	33	36	3
2	10	46	4	1	95	82	16	25	0	95	31	347	145	86	3	1	7	30	38	6
0	9	40	2	1	91	72	10	15	1	96	32	364	141	76	2	3	9	29	30	3
0	5	47	3	1	95	75	19	17	0	81	21	369	131	63	6	0	3	35	35	4
0	13	44	1	0	100	84	17	16	1	108	31	366	153	65	7	1	6	41	39	1
0	9	37	5	1	108	91	24	17	2	90	40	365	153	80	7	0	5	35	39	2
1	11	33	3	0	105	92	24	18	0	96	36	361	153	73	6	0	5	18	30	1
1	9	39	3	1	80	96	15	18	1	99	36	368	126	87	7	3	7	30	26	3
1	10	41	1	1	96	91	15	27	0	88	37	373	147	70	4	0	3	36	30	3
0	8	32	1	0	87	82	12	16	1	81	26	364	151	78	6	0	3	34	33	5
0	6	43	6	0	104	89	14	27	2	100	34	376	136	75	4	0	3	37	31	0
2	5	49	4	1	112	95	16	14	3	88	39	385	142	72	3	1	2	38	36	8
0	9	47	5	0	112	82	21	18	2	88	32	383	131	88	6	1	4	31	29	4
2	10	46	8	0	102	82	13	19	1	89	26	363	140	89	6	0	4	31	28	4
0	8	46	5	0	105	93	17	15	0	99	35	383	134	71	6	0	3	32	35	4
1	7	46	6	0	84	72	18	16	3	93	21	372	124	71	7	1	7	38	27	1
0	10	44	4	0	103	84	16	20	1	103	29	374	147	63	3	2	5	39	40	7
0	9	44	3	1	76	92	17	19	1	102	25	384	127	71	6	0	6	39	28	3
1	6	41	1	0	83	80	6	16	1	78	31	372	132	93	0	0	5	41	36	4
