Gene_Name	Drug_Name	Interaction_Type	Source	Gene_Categories
CPT2	Perhexiline	inhibitor	DrugBank	Druggable genome
CPT2	PERHEXILINE		TEND	Druggable genome
CPT2	PERHEXILINE		TdgClinicalTrial	Druggable genome
CPT2	ASPIRIN	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	BENZQUINAMIDE	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	CARPROFEN	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	CELECOXIB	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	DICLOFENAC	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	ESFLURBIPROFEN	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	ETODOLAC	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	ETORICOXIB	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	FLURBIPROFEN	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	IBUPROFEN	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	KETOPROFEN	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	KETOROLAC	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	LUMIRACOXIB	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	MECLOFENAMIC ACID	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	MEFENAMIC ACID	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	MELOXICAM	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	NAPROXCINOD	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	NAPROXEN	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	NIMESULIDE	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	NS-398	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	OXAPROZIN	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	PARACETAMOL	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	PHENYLBUTAZONE	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	PIROXICAM	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	RESVERATROL	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	ROFECOXIB	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	SUPROFEN	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	VALDECOXIB	inhibitor	GuideToPharmacologyInteractions	Druggable genome
CPT2	L-Carnitine		DrugBank	Druggable genome
CD2	ALEFACEPT	inhibitor	TTD	Cell surface,druggable genome,external side of plasma membrane
CD2	Alefacept	inhibitor	DrugBank	Cell surface,druggable genome,external side of plasma membrane
CD2	ALEFACEPT	antagonist	GuideToPharmacologyInteractions	Cell surface,druggable genome,external side of plasma membrane
CD2	ALEFACEPT	inhibitor	ChemblInteractions	Cell surface,druggable genome,external side of plasma membrane
CD2	ALEFACEPT		TEND	Cell surface,druggable genome,external side of plasma membrane
