Gene	Cellular Processes	Environmental Information Processing	Genetic Information Processing	Human Diseases	Metabolism	Organismal Systems	Unknown
STK19	0	0	0	0	0	0	1
CCDC77	0	0	0	0	0	0	1
ZDHHC19	0	0	0	0	0	0	1
KIAA1467	0	0	0	0	0	0	1
NELFE	0	0	0	0	0	0	1
P4HA2	0	0	0	0	1	0	0
AC027763.2	0	0	0	0	0	0	1
SRSF12	0	0	0	0	0	0	1
ANKIB1	0	0	0	0	0	0	1
CPQ	0	0	0	0	0	0	1
CTD-2134	0	0	0	0	0	0	1
RP11-173	0	0	0	0	0	0	1
CYP3A43	0	0	0	1	0	0	0
SGPL1	0	1	0	0	1	0	0
BLOC1S2	0	0	0	0	0	0	1
ALMS1	0	0	0	0	0	0	1
PPP2R4	0	0	0	0	0	0	1
SLC5A11	0	0	0	0	0	0	1
SPTLC3	0	1	0	0	1	0	0
AC003075.4	0	0	0	0	0	0	1
TOR1A	0	0	0	0	0	0	1
U91328.19	0	0	0	0	0	0	1
SLC38A7	0	0	0	0	0	0	1
SYMPK	1	0	1	0	0	0	0
FUT2	0	0	0	0	1	0	0
MUC4	0	0	0	0	0	0	1
CEP89	0	0	0	0	0	0	1
SPPL3	0	0	0	0	0	0	1
CYP3A7	0	0	0	1	1	0	0
CTA-384D	0	0	0	0	0	0	1
RSU1	0	0	0	0	0	0	1
ADRA1A	0	1	0	0	0	1	0
LINC00637	0	0	0	0	0	0	1
ERI3	0	0	0	0	0	0	1
PARP10	0	0	0	0	0	0	1
ANGPTL3	0	0	0	0	0	1	0
LACTB	0	0	0	0	0	0	1
KLC1	0	0	0	1	0	0	0
TSG101	1	0	0	0	0	0	0
RPS27L	0	0	1	0	0	0	0
PRRT1	0	0	0	0	0	0	1
NTN5	0	0	0	0	0	0	1
PDCD11	0	0	0	0	0	0	1
CHKB	0	0	0	1	1	0	0
UFSP2	0	0	0	0	0	0	1
HCG27	0	0	0	0	0	0	1
APOE	0	0	0	0	0	1	0
HCG20	0	0	0	0	0	0	1
EPPK1	0	0	0	0	0	0	1
VSX2	0	0	0	0	0	0	1
ZNF513	0	0	0	0	0	0	1
GRM1	1	1	0	0	0	1	0
PDLIM4	0	0	0	0	0	0	1
EEF2K	0	1	0	0	0	1	0
PDLIM1	0	0	0	0	0	0	1
AC008731.1	0	0	0	0	0	0	1
CCDC57	0	0	0	0	0	0	1
C8orf46	0	0	0	0	0	0	1
KCNQ5	0	0	0	0	0	1	0
CCNT2	0	0	0	1	0	0	0
PPP1R10	0	0	0	0	0	0	1
MMACHC	0	0	0	0	0	1	0
MCCC1	0	0	0	0	1	0	0
TNK2	0	0	0	0	0	0	1
KCNH6	0	0	0	0	0	0	1
GMPR	0	0	0	0	1	0	0
SLC22A4	0	0	0	1	0	0	0
SLC22A5	0	0	0	1	0	0	0
RP11-81A	0	0	0	0	0	0	1
EFCAB1	0	0	0	0	0	0	1
ACSM3	0	0	0	0	1	0	0
C9orf114	0	0	0	0	0	0	1
GANAB	0	0	1	0	1	0	0
NBPF3	0	0	0	0	0	0	1
MBOAT7	0	0	0	0	1	0	0
SLC4A2	0	0	0	0	0	1	0
TRIM54	0	0	0	0	0	0	1
RP11-10L	0	0	0	0	0	0	1
RP11-10H	0	0	0	0	0	0	1
STRIP1	0	0	0	0	0	0	1
TLL2	0	0	0	0	0	0	1
PYROXD2	0	0	0	0	0	0	1
FAHD1	0	0	0	0	1	0	0
PARVB	1	0	0	0	0	0	0
LIMD1	0	1	0	0	0	0	0
DDB1	0	0	1	1	0	0	0
AC074117	0	0	0	0	0	0	1
DNAJC3-AS1	0	0	0	0	0	0	1
C1QBP	0	0	0	0	0	0	1
ARVCF	0	0	0	0	0	0	1
CHTF18	0	0	0	0	0	0	1
SLC27A2	1	0	0	1	0	1	0
CYP2C9	0	0	0	1	1	1	0
CYP2C8	0	0	0	1	1	1	0
RP11-102	0	0	0	0	0	0	1
GPR158	0	0	0	0	0	0	1
SLC17A1	0	0	0	0	0	0	1
SLC17A3	0	0	0	0	0	0	1
KRTCAP3	0	0	0	0	0	0	1
C16orf52	0	0	0	0	0	0	1
CCBL1	0	0	0	0	0	0	1
CCBL2	0	0	0	0	0	0	1
NRN1L	0	0	0	0	0	0	1
PSMD9	0	0	0	0	0	0	1
TMEM258	0	0	0	0	0	0	1
ANKH	0	0	0	0	0	0	1
BHMT2	0	0	0	0	1	0	0
CPSF4	0	0	1	1	0	0	0
CAD	0	0	0	0	1	0	0
ECI2	1	0	0	0	1	0	0
RP11-589	0	0	0	0	0	0	1
GCDH	0	0	0	0	1	0	0
SIPA1L1	0	1	0	0	0	0	0
GRID2IP	0	0	0	0	0	0	1
MTND4P19	0	0	0	0	0	0	1
PSMC5	0	0	1	1	0	0	0
HEATR4	0	0	0	0	0	0	1
RSF1	0	0	0	0	0	0	1
ATG4C	1	0	0	0	0	0	0
RRN3	0	0	0	0	0	0	1
FAM216A	0	0	0	0	0	0	1
FPGS	0	0	0	1	1	0	0
SH3GLB2	1	0	0	0	0	0	0
MMP25	0	0	0	0	0	1	0
CRAT	1	0	0	0	0	0	0
RAB24	0	0	0	0	0	0	1
ARSA	1	0	0	0	1	0	0
ANKFY1	0	0	0	0	0	0	1
TPT1-AS1	0	0	0	0	0	0	1
USP1	0	0	1	0	0	0	0
RP11-445	0	0	0	0	0	0	1
PPP1R13B	0	0	0	0	0	0	1
CES4A	0	0	0	0	0	0	1
SLC1A4	0	0	0	0	0	0	1
MAP3K19	0	0	0	0	0	0	1
SYCP2L	0	0	0	0	0	0	1
IMMP2L	0	0	1	0	0	0	0
FUOM	0	0	0	0	0	0	1
ATP5J2	0	0	0	0	0	0	1
GABPB1-AS1	0	0	0	0	0	0	1
ZFPM1	0	0	0	0	0	0	1
HPS5	0	0	0	0	0	0	1
HPS1	0	0	0	0	0	0	1
DAB2	1	0	0	0	0	0	0
MICB	0	0	0	0	0	1	0
SLC25A11	0	0	0	0	0	0	1
CYP3A5	0	0	0	1	1	0	0
FNDC4	0	0	0	0	0	0	1
ALMS1P	0	0	0	0	0	0	1
AC004381.6	0	0	0	0	0	0	1
PAOX	1	0	0	0	0	0	0
CNPY4	0	0	0	0	0	0	1
CNPY2	0	0	0	0	0	0	1
CACUL1	0	0	0	0	0	0	1
CDH1	1	1	0	1	0	0	0
CDH3	0	1	0	0	0	0	0
CYP2C19	0	0	0	1	1	1	0
C2orf54	0	0	0	0	0	0	1
SLC16A10	0	0	0	0	0	1	0
LIPC	0	0	0	0	1	1	0
LIPG	0	0	0	0	1	1	0
HLA-DRB6	0	0	0	0	0	0	1
LPP	0	0	0	0	0	0	1
PEX11A	1	0	0	0	0	0	0
RP11-143	0	0	0	0	0	0	1
FAM69A	0	0	0	0	0	0	1
REV3L	0	0	1	1	0	0	0
PHGDH	0	0	0	0	1	0	0
PDXDC1	0	0	0	0	0	0	1
RFX1	0	0	0	0	0	0	1
C10orf129	0	0	0	0	0	0	1
NRG4	0	1	0	0	0	0	0
ECHS1	0	0	0	0	1	0	0
TM4SF19	0	0	0	0	0	0	1
STRADA	0	1	0	0	0	0	0
DDAH2	0	0	0	0	0	0	1
CALR	1	0	1	1	0	1	0
NFATC3	1	1	0	1	0	1	0
ZNF697	0	0	0	0	0	0	1
EXOSC7	0	0	1	0	0	0	0
EXOSC4	0	0	1	0	0	0	0
CABIN1	0	0	0	0	0	0	1
MGAM	0	0	0	0	1	1	0
SUMF2	0	0	0	0	0	0	1
FTSJ3	0	0	0	0	0	0	1
TKT	0	0	0	0	1	0	0
CAMTA2	0	0	0	0	0	0	1
AC132872.2	0	0	0	0	0	0	1
PKN3	0	1	0	1	0	0	0
INCENP	0	0	0	0	0	0	1
C6orf201	0	0	0	0	0	0	1
NUDT3	0	0	0	0	0	0	1
ASTN1	0	0	0	0	0	0	1
CCDC6	0	0	0	1	0	0	0
F12	0	0	0	0	0	1	0
TELO2	0	1	1	0	0	0	0
F11	0	0	0	0	0	1	0
PLA2G15	1	0	0	0	1	0	0
IRF1	0	1	0	1	0	1	0
MCM6	1	0	1	0	0	0	0
RP11-321	0	0	0	0	0	0	1
DOPEY1	0	0	0	0	0	0	1
NUBP2	0	0	0	0	0	0	1
ELOVL2-AS1	0	0	0	0	0	0	1
AC016725.4	0	0	0	0	0	0	1
RP11-247	0	0	0	0	0	0	1
TRIM4	0	0	0	0	0	0	1
VPS54	0	0	0	0	0	0	1
TMC4	0	0	0	0	0	0	1
EEF1E1	0	0	0	0	0	0	1
NUMB	0	1	0	0	0	0	0
CTD-2265	0	0	0	0	0	0	1
AMPD3	0	0	0	0	1	0	0
C17orf107	0	0	0	0	0	0	1
CYP4B1	0	0	0	0	0	0	1
SLBP	0	0	0	0	0	0	1
ADHFE1	0	0	0	0	0	0	1
SMPD3	0	0	0	0	1	0	0
AGXT	1	0	0	0	1	0	0
MXD3	0	0	0	0	0	0	1
ITIH4	0	0	0	0	0	0	1
AKR1C3	0	0	0	0	1	1	0
AC104809.4	0	0	0	0	0	0	1
TPM1	0	0	0	1	0	1	0
FBXO21	0	0	0	0	0	0	1
ZNF430	0	0	0	0	0	0	1
MRGPRX3	0	0	0	0	0	0	1
MYT1L	0	0	0	0	0	0	1
ZNF346	0	0	0	0	0	0	1
FGD4	0	0	0	0	0	0	1
DOCK7	0	0	0	0	0	0	1
AGAP1	1	0	0	0	0	0	0
ENO3	0	1	1	0	1	0	0
NUDT19	1	0	0	0	0	0	0
KNSTRN	0	0	0	0	0	0	1
KIF1C	0	0	0	0	0	0	1
STX2	0	0	1	0	0	1	0
ALDH2	0	0	0	0	1	0	0
LY6G5B	0	0	0	0	0	0	1
BASP1	0	0	0	0	0	0	1
MYO9B	0	0	0	0	0	0	1
RP3-414A	0	0	0	0	0	0	1
NEU1	1	0	0	0	1	0	0
PKD1P6	0	0	0	0	0	0	1
RP11-150	0	0	0	0	0	0	1
VMP1	1	0	0	0	0	0	0
DCXR	0	0	0	0	1	0	0
PNPT1	0	0	1	0	0	0	0
MSH4	0	0	0	0	0	0	1
PRDX2	0	0	0	0	0	0	1
PRDX1	1	0	0	0	0	0	0
ALOX12	0	0	0	1	1	1	0
SLC5A6	0	0	0	0	0	1	0
TDRD12	0	0	0	0	0	0	1
MYBL1	0	0	0	0	0	0	1
ZNF713	0	0	0	0	0	0	1
NBPF18P	0	0	0	0	0	0	1
RERE	0	0	0	0	0	0	1
TBC1D13	0	0	0	0	0	0	1
PHYHD1	0	0	0	0	0	0	1
RTBDN	0	0	0	0	0	0	1
VIPR2	0	1	0	0	0	0	0
DNAJC13	0	0	0	0	0	0	1
CCT6A	0	0	0	0	0	0	1
ASF1B	0	0	0	0	0	0	1
SULT2A1	0	0	0	1	1	1	0
RP11-680	0	0	0	0	0	0	1
RAC3	1	1	0	1	0	1	0
ENDOG	1	0	0	0	0	0	0
DUS1L	0	0	0	0	0	0	1
LMAN2	0	0	1	0	0	0	0
GCGR	0	1	0	0	0	1	0
PM20D2	0	0	0	0	0	0	1
SLC16A9	0	0	0	0	0	0	1
AC012314.8	0	0	0	0	0	0	1
SPAST	0	0	0	0	0	0	1
NOTCH4	0	1	0	1	0	1	0
SLC16A3	0	0	0	1	0	0	0
NSUN4	0	0	0	0	0	0	1
TYMP	0	0	0	1	1	0	0
DCAF7	0	0	0	0	0	0	1
CYP2C18	0	0	0	1	1	1	0
RP11-611	0	0	0	0	0	0	1
BCL2	1	1	1	1	0	1	0
RP11-593	0	0	0	0	0	0	1
RP11-977	0	0	0	0	0	0	1
DNAH14	0	0	0	0	0	0	1
C1orf123	0	0	0	0	0	0	1
CRLF1	0	0	0	0	0	0	1
NT5E	0	0	0	0	1	0	0
MLEC	0	0	0	0	0	0	1
MAMSTR	0	0	0	0	0	0	1
RAPGEF6	1	1	0	0	0	0	0
KIAA1919	0	0	0	0	0	0	1
PAH	0	0	0	0	1	0	0
SLC30A6	0	0	0	0	0	0	1
CERS6	0	1	0	0	1	0	0
GPS1	0	0	0	0	0	0	1
ACSM1	0	0	0	0	1	0	0
PRPF31	0	0	1	0	0	0	0
CACNA1C	0	1	0	1	0	1	0
ACSM5	0	0	0	0	1	0	0
MAGI2	0	1	0	0	0	0	0
DLGAP4	0	0	0	0	0	0	1
NTAN1	0	0	0	0	0	0	1
WDR66	0	0	0	0	0	0	1
FMO2	0	0	0	0	1	0	0
FMO3	0	0	0	0	1	0	0
CETP	0	0	0	0	0	1	0
PRMT7	0	0	0	0	0	0	1
ETFDH	0	0	0	0	0	0	1
TMEM176A	0	0	0	0	0	0	1
TMEM176B	0	0	0	0	0	0	1
ACOT2	0	0	0	0	1	1	0
MAN1A2	0	0	1	0	1	0	0
ACOT1	0	0	0	0	1	0	0
PCYT1A	0	0	0	1	1	0	0
NME3	0	0	0	0	1	0	0
INCA1	0	0	0	0	0	0	1
RPL39L	0	0	0	0	0	0	1
RNF182	0	0	0	0	0	0	1
COPB1	0	0	0	0	0	0	1
LRRC45	0	0	0	0	0	0	1
MYO5A	0	0	0	0	0	0	1
MSANTD1	0	0	0	0	0	0	1
EME2	0	0	1	0	0	0	0
ACADS	0	0	0	0	1	0	0
PNRC1	0	0	0	0	0	0	1
UNC119B	0	0	0	0	0	0	1
DOCK3	0	0	0	0	0	0	1
ATRAID	0	0	0	0	0	0	1
CCDC163P	0	0	0	0	0	0	1
ZFP90	0	0	0	0	0	0	1
S100A10	0	0	0	0	0	0	1
SEC16A	0	0	0	0	0	0	1
XRCC3	0	0	1	0	0	0	0
CMIP	0	0	0	0	0	0	1
ACADM	0	0	0	0	1	1	0
UGT1A2P	0	0	0	0	0	0	1
PPM1G	0	0	0	0	0	0	1
THEM4	0	1	0	0	1	0	0
TEKT1	0	0	0	0	0	0	1
SEC1P	0	0	0	0	0	0	1
AFF4	0	0	0	0	0	0	1
PPM1K	0	0	0	0	0	0	1
USP40	0	0	0	0	0	0	1
XDH	1	0	0	0	1	0	0
HLA-DQB1	1	1	0	1	0	1	0
HLA-DQB2	0	0	0	0	0	0	1
C19orf40	0	0	0	0	0	0	1
GCKR	0	0	0	0	0	0	1
HERC6	0	0	0	0	0	0	1
PKNOX1	0	0	0	0	0	0	1
RP11-122	0	0	0	0	0	0	1
PALB2	0	0	1	0	0	0	0
RPAP3	0	0	0	0	0	0	1
CDC14A	1	0	0	0	0	0	0
PTCD1	0	0	0	0	0	0	1
APOPT1	0	0	0	0	0	0	1
MEIOB	0	0	0	0	0	0	1
PTDSS2	0	0	0	0	1	0	0
BAG6	0	0	0	0	0	0	1
LY6G5C	0	0	0	0	0	0	1
ODF3B	0	0	0	0	0	0	1
MOB3C	0	0	0	0	0	0	1
TNIK	0	0	0	0	0	0	1
FGR	0	0	0	0	0	1	0
CD2	0	1	0	0	0	1	0
SNED1	0	0	0	0	0	0	1
KIAA0101	0	0	0	0	0	0	1
DOCK10	0	0	0	0	0	0	1
SNX17	0	0	0	0	0	0	1
APH1B	0	1	0	0	0	0	0
BHMT	0	0	0	0	1	0	0
LPAL2	0	0	0	0	0	0	1
LY6G6E	0	0	0	0	0	0	1
MARK3	0	0	0	0	0	0	1
SLC6A13	0	0	0	0	0	1	0
SLC6A12	0	0	0	0	0	1	0
CTD-3098	0	0	0	0	0	0	1
