Gene	Synonymns	Description
A1BG	A1B|ABG|GAB|HYST2477	alpha-1-B glycoprotein
A2M	A2MD|CPAMD5|FWP007|S863-7	alpha-2-macroglobulin
A2MP1	A2MP	alpha-2-macroglobulin pseudogene 1
NAT1	AAC1|MNAT|NAT-1|NATI	N-acetyltransferase 1
NAT2	AAC2|NAT-2|PNAT	N-acetyltransferase 2
NATP	AACP|NATP1	N-acetyltransferase pseudogene
SERPINA3	AACT|ACT|GIG24|GIG25	serpin family A member 3
AADAC	CES5A1|DAC	arylacetamide deacetylase
AAMP	-	angio associated migratory cell protein
AANAT	DSPS|SNAT	aralkylamine N-acetyltransferase
AARS	CMT2N|EIEE29	alanyl-tRNA synthetase
AAVS1	AAV	adeno-associated virus integration site 1
ABAT	GABA-AT|GABAT|NPD009	4-aminobutyrate aminotransferase
ABCA1	ABC-1|ABC1|CERP|HDLDT1|TGD	ATP binding cassette subfamily A member 1
ABCA2	ABC2	ATP binding cassette subfamily A member 2
ABCA3	ABC-C|ABC3|EST111653|LBM180|SMDP3	ATP binding cassette subfamily A member 3
ABCB7	ABC7|ASAT|Atm1p|EST140535	ATP binding cassette subfamily B member 7
ABCF1	ABC27|ABC50	ATP binding cassette subfamily F member 1
ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	ATP binding cassette subfamily A member 4
ABL1	ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase
AOC1	ABP|ABP1|DAO|DAO1|KAO	amine oxidase, copper containing 1
ABL2	ABLL|ARG	ABL proto-oncogene 2, non-receptor tyrosine kinase
ABO	A3GALNT|A3GALT1|GTB|NAGAT	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ABR	MDB	ABR, RhoGEF and GTPase activating protein
ACAA1	ACAA|PTHIO|THIO	acetyl-CoA acyltransferase 1
ACACA	ACAC|ACACAD|ACC|ACC1|ACCA	acetyl-CoA carboxylase alpha
ACACB	ACC2|ACCB|HACC275	acetyl-CoA carboxylase beta
ACADL	ACAD4|LCAD	acyl-CoA dehydrogenase long chain
ACADM	ACAD1|MCAD|MCADH	acyl-CoA dehydrogenase medium chain
ACADS	ACAD3|SCAD	acyl-CoA dehydrogenase short chain
ACADSB	2-MEBCAD|ACAD7|SBCAD	acyl-CoA dehydrogenase short/branched chain
ACADVL	ACAD6|LCACD|VLCAD	acyl-CoA dehydrogenase very long chain
ACAT1	ACAT|MAT|T2|THIL	acetyl-CoA acetyltransferase 1
ACAT2	-	acetyl-CoA acetyltransferase 2
ASIC2	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	acid sensing ion channel subunit 2
ASIC1	ACCN2|ASIC|BNaC2	acid sensing ion channel subunit 1
ACHE	ACEE|ARACHE|N-ACHE|YT	acetylcholinesterase (Cartwright blood group)
ACLS	-	acrocallosal syndrome
ACLY	ACL|ATPCL|CLATP	ATP citrate lyase
ACO1	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1	aconitase 1
ACR	-	acrosin
ACO2	ACONM|HEL-S-284|ICRD|OCA8|OPA9	aconitase 2
ACOX1	ACOX|PALMCOX|SCOX	acyl-CoA oxidase 1
ACP1	HAAP|LMW-PTP|LMWPTP	acid phosphatase 1
ACP2	LAP	acid phosphatase 2, lysosomal
ACP5	HPAP|TRACP5a|TRACP5b|TRAP|TrATPase	acid phosphatase 5, tartrate resistant
ACPP	5'-NT|ACP-3|ACP3	acid phosphatase, prostate
ACRV1	D11S4365|SP-10|SPACA2	acrosomal vesicle protein 1
ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM	actin, alpha 1, skeletal muscle
ACTA2	ACTSA	actin, alpha 2, smooth muscle, aorta
ACTB	BRWS1|PS1TP5BP1	actin beta
ACTBP2	-	actin, beta pseudogene 2
ACTBP3	-	actin, beta pseudogene 3
ACTBP4	-	actin, beta pseudogene 4
ACTBP6	H8-PSI-BETA-AC3	actin, beta pseudogene 6
ACTBP7	-	actin, beta pseudogene 7
ACTBP8	ACTBP2	actin, beta pseudogene 8
ACTBP9	-	actin, beta pseudogene 9
ACTC1	ACTC|ASD5|CMD1R|CMH11|LVNC4	actin, alpha, cardiac muscle 1
