SNP	ANNOTATION	CHR	POS	SNP_PHENOTYPE	END	rsID	First_Level	PHENOTYPE	Metabolism
rs10022462	RP11-10L7.1	4	89206094	2-aminobutyrate	89252573	rs10022462	Unknown		False
rs10022462	HERC6	4	89299891	2-aminobutyrate	89364263	rs10022462	Unknown		False
rs10022462	PPM1K	4	89178772	2-aminobutyrate	89205921	rs10022462	Unknown		False
rs10022462	SNCA	4	90645250	2-aminobutyrate	90759411	rs10022462	Unknown		False
rs1005390	TMEM176B	7	150488373	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	150498448	rs1005390	Unknown		False
rs1005390	TMEM176A	7	150497622	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	150502208	rs1005390	Unknown		False
rs1005390	SLC4A2	7	150754297	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	150772862	rs1005390	Organismal Systems		False
rs1005390	ATG9B	7	150709297	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	150721586	rs1005390	Cellular Processes		False
rs1005390	AOC1	7	150521715	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	150558592	rs1005390	Metabolism	Amino acid metabolism	True
rs1005390	MGAM	7	141607613	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	141806547	rs1005390	Metabolism, Organismal Systems	Carbohydrate metabolism	True
rs1005390	VIPR2	7	158822887	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	158937649	rs1005390	Environmental Information Processing		False
rs10112574	ADHFE1	8	67344718	X-04499--3,4-dihydroxybutyrate/ C-glycosyltryptophan	67383675	rs10112574	Unknown		False
rs10112574	C8orf46	8	67372238	X-04499--3,4-dihydroxybutyrate/ C-glycosyltryptophan	67430759	rs10112574	Unknown		False
rs10112574	MYBL1	8	67474410	X-04499--3,4-dihydroxybutyrate/ C-glycosyltryptophan	67525529	rs10112574	Unknown		False
rs10112574	FOXN3	14	89591215	X-04499--3,4-dihydroxybutyrate/ C-glycosyltryptophan	90085493	rs10112574	Unknown		False
rs10211524	SLC1A4	2	65215611	2-aminobutyrate	65250999	rs10211524	Unknown		False
