SNP	eGene	CHR	POS	SNP_PHENOTYPE	END	First_Level	PHENOTYPE	Metabolism	Locus	Locus name	Entrez Gene Name	Location	Type(s)	Most associated metabolite or ratio	Biochemical locus-metabolite relationship [PMID]	Predicted causal gene	eQTL (gene and tissue)	Complex trait association [PMID]	Metabolite association [PMID]	Inborn error metabolism	Gene/protein classification (DT=drug target, ME=metabolic enzyme, TP=transporter)	ChEMBL ID	Drug information	In development PharmaProjects (preclinical, Phase I to III, pre-registration, registration)	Failed PharmaProjects (Suspended, withdrawn, no development)	split_eQTLs	causal_eGene	split	Overlap
rs10022462	RP11-10L	4	89206094	2-aminobutyrate	89252573	Unknown		False	36	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent, 1K	Cytoplasm	phosphatase	2-aminobutyrate	PPM1K encodes the phosphatase for the branched-chain keto acid dehydrogenase complex (BCKD) [19411760].  BCKD catalyzes an essential step in the catabolism of the valine and the other branched chain amino acids.	PPM1K	PPM1K-LIVER	NA	NA	NA	NA	NA	NA	NA	NA	PPM1K LIVER	True	PPM1K	False
rs10022462	HERC6	4	89299891	2-aminobutyrate	89364263	Unknown		False	36	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent, 1K	Cytoplasm	phosphatase	2-aminobutyrate	PPM1K encodes the phosphatase for the branched-chain keto acid dehydrogenase complex (BCKD) [19411760].  BCKD catalyzes an essential step in the catabolism of the valine and the other branched chain amino acids.	PPM1K	PPM1K-LIVER	NA	NA	NA	NA	NA	NA	NA	NA	PPM1K LIVER	True	PPM1K	False
rs10022462	PPM1K	4	89178772	2-aminobutyrate	89205921	Unknown		False	36	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent, 1K	Cytoplasm	phosphatase	2-aminobutyrate	PPM1K encodes the phosphatase for the branched-chain keto acid dehydrogenase complex (BCKD) [19411760].  BCKD catalyzes an essential step in the catabolism of the valine and the other branched chain amino acids.	PPM1K	PPM1K-LIVER	NA	NA	NA	NA	NA	NA	NA	NA	PPM1K LIVER	True	PPM1K	True
rs10022462	SNCA	4	90645250	2-aminobutyrate	90759411	Unknown		False	36	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent, 1K	Cytoplasm	phosphatase	2-aminobutyrate	PPM1K encodes the phosphatase for the branched-chain keto acid dehydrogenase complex (BCKD) [19411760].  BCKD catalyzes an essential step in the catabolism of the valine and the other branched chain amino acids.	PPM1K	PPM1K-LIVER	NA	NA	NA	NA	NA	NA	NA	NA	PPM1K LIVER	True	PPM1K	False
rs1005390	TMEM176B	7	150488373	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	150498448	Unknown		False	65	ABP1 (AOC1)	amiloride binding protein 1 (amine oxidase (copper-containing))	Extracellular Space	enzyme	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	ABP1 (now called AOC1) encodes a copper containing amide oxidase which can deaminate N1-acetylspermidine to produce N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga).  X-03056 has been annotated as N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga). Ratio interepretation: 'selectivity'.	ABP1 (AOC1)	KCNH2-LCL,REPIN1-LCL,TMEM176A-FAT	NA	NA	NA	ME	CHEMBL2118	No specific drug is primarily metabolised by this enzyme; compounds with inhibitory activity in ChEMBL	NA	NA	KCNH2 LCL REPIN1 LCL TMEM176A FAT	False	ABP1  AOC1 	False
rs1005390	TMEM176A	7	150497622	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	150502208	Unknown		False	65	ABP1 (AOC1)	amiloride binding protein 1 (amine oxidase (copper-containing))	Extracellular Space	enzyme	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	ABP1 (now called AOC1) encodes a copper containing amide oxidase which can deaminate N1-acetylspermidine to produce N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga).  X-03056 has been annotated as N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga). Ratio interepretation: 'selectivity'.	ABP1 (AOC1)	KCNH2-LCL,REPIN1-LCL,TMEM176A-FAT	NA	NA	NA	ME	CHEMBL2118	No specific drug is primarily metabolised by this enzyme; compounds with inhibitory activity in ChEMBL	NA	NA	KCNH2 LCL REPIN1 LCL TMEM176A FAT	False	ABP1  AOC1 	False
rs1005390	SLC4A2	7	150754297	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	150772862	Organismal Systems		False	65	ABP1 (AOC1)	amiloride binding protein 1 (amine oxidase (copper-containing))	Extracellular Space	enzyme	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	ABP1 (now called AOC1) encodes a copper containing amide oxidase which can deaminate N1-acetylspermidine to produce N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga).  X-03056 has been annotated as N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga). Ratio interepretation: 'selectivity'.	ABP1 (AOC1)	KCNH2-LCL,REPIN1-LCL,TMEM176A-FAT	NA	NA	NA	ME	CHEMBL2118	No specific drug is primarily metabolised by this enzyme; compounds with inhibitory activity in ChEMBL	NA	NA	KCNH2 LCL REPIN1 LCL TMEM176A FAT	False	ABP1  AOC1 	False
rs1005390	ATG9B	7	150709297	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	150721586	Cellular Processes		False	65	ABP1 (AOC1)	amiloride binding protein 1 (amine oxidase (copper-containing))	Extracellular Space	enzyme	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	ABP1 (now called AOC1) encodes a copper containing amide oxidase which can deaminate N1-acetylspermidine to produce N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga).  X-03056 has been annotated as N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga). Ratio interepretation: 'selectivity'.	ABP1 (AOC1)	KCNH2-LCL,REPIN1-LCL,TMEM176A-FAT	NA	NA	NA	ME	CHEMBL2118	No specific drug is primarily metabolised by this enzyme; compounds with inhibitory activity in ChEMBL	NA	NA	KCNH2 LCL REPIN1 LCL TMEM176A FAT	False	ABP1  AOC1 	False
rs1005390	AOC1	7	150521715	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	150558592	Metabolism	Amino acid metabolism	True	65	ABP1 (AOC1)	amiloride binding protein 1 (amine oxidase (copper-containing))	Extracellular Space	enzyme	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	ABP1 (now called AOC1) encodes a copper containing amide oxidase which can deaminate N1-acetylspermidine to produce N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga).  X-03056 has been annotated as N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga). Ratio interepretation: 'selectivity'.	ABP1 (AOC1)	KCNH2-LCL,REPIN1-LCL,TMEM176A-FAT	NA	NA	NA	ME	CHEMBL2118	No specific drug is primarily metabolised by this enzyme; compounds with inhibitory activity in ChEMBL	NA	NA	KCNH2 LCL REPIN1 LCL TMEM176A FAT	False	ABP1  AOC1 	True
rs1005390	MGAM	7	141607613	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	141806547	Metabolism, Organismal Systems	Carbohydrate metabolism	True	65	ABP1 (AOC1)	amiloride binding protein 1 (amine oxidase (copper-containing))	Extracellular Space	enzyme	4-acetamidobutanoate/ X-03056--N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	ABP1 (now called AOC1) encodes a copper containing amide oxidase which can deaminate N1-acetylspermidine to produce N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga).  X-03056 has been annotated as N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (acisoga). Ratio interepretation: 'selectivity'.	ABP1 (AOC1)	KCNH2-LCL,REPIN1-LCL,TMEM176A-FAT	NA	NA	NA	ME	CHEMBL2118	No specific drug is primarily metabolised by this enzyme; compounds with inhibitory activity in ChEMBL	NA	NA	KCNH2 LCL REPIN1 LCL TMEM176A FAT	False	ABP1  AOC1 	False
