Gene	Protein class	Subcellular location	RNA tissue category	RNA TS	RNA TS TPM	RNA cell line category	RNA CS	RNA CS TPM
FGR	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Plasma membrane, Aggresome	Tissue enhanced		appendix: 85.6;bone marrow: 137.0;spleen: 90.6	Cell line enhanced		Daudi: 61.4;HMC-1: 25.8;U-266/70: 116.7
ANKIB1	Predicted intracellular proteins	Plasma membrane, Cytosol	Expressed in all			Expressed in all		
AOC1	Enzymes, Predicted secreted proteins		Tissue enhanced		placenta: 716.9;small intestine: 247.6	Cell line enhanced		CAPAN-2: 17.4;HaCaT: 5.4;THP-1: 17.8
TMEM176A	Predicted membrane proteins	Mitochondria	Expressed in all			Cell line enriched	30	HSkMC: 493.9
RPAP3	Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
ACSM3	Enzymes, Predicted intracellular proteins		Tissue enhanced		liver: 93.2	Group enriched	12	HEL: 85.7;HMC-1: 339.4;K-562: 258.6
AC004381.6	Predicted intracellular proteins	Nuclear membrane, Nucleoli, Endoplasmic reticulum	Tissue enriched	33	testis: 618.5	Mixed		
CRLF1	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins		Tissue enhanced		cerebral cortex: 17.2;placenta: 16.8	Group enriched	8	ASC diff: 706.3;Hep G2: 309.6
FMO3	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins		Tissue enriched	24	liver: 556.7	Group enriched	13	ASC diff: 23.4;ASC TERT1: 17.9;HSkMC: 5.1
NFIX	Disease related genes, Predicted intracellular proteins, Transcription factors	Nucleoplasm	Expressed in all			Cell line enhanced		U-138 MG: 192.9;U-2197: 175.5
MMP25	Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins		Tissue enhanced		appendix: 23.3;bone marrow: 24.7;spleen: 20.7	Cell line enriched	11	HMC-1: 95.7
REV3L	Enzymes, Plasma proteins, Predicted intracellular proteins	Nucleoplasm	Expressed in all			Expressed in all		
SLC6A13	Predicted membrane proteins, Transporters	Nucleus, Nucleoli, Mitochondria, Cytosol	Tissue enriched	14	kidney: 154.0	Cell line enriched	7	RPTEC TERT1: 3.5
TMEM159	Predicted intracellular proteins, Predicted membrane proteins	Vesicles	Mixed			Mixed		
CYP3A43	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Cytosol	Tissue enriched	15	liver: 22.7	Not detected		
SLC7A9	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters		Group enriched	10	duodenum: 79.0;kidney: 70.1;small intestine: 123.5	Group enriched	20	BEWO: 3.3;CACO-2: 6.7;Hep G2: 5.4
SPAST	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Nucleoplasm, Cytosol	Mixed			Expressed in all		
TYMP	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Nuclear bodies, Golgi apparatus	Tissue enhanced		appendix: 100.6	Cell line enhanced		CAPAN-2: 37.3;HHSteC: 84.7;Karpas-707: 72.1;U-266/70: 36.4
EFCAB1	Predicted intracellular proteins	Nucleoplasm, Plasma membrane	Tissue enhanced		fallopian tube: 149.8;testis: 47.1	Cell line enhanced		A-431: 5.8;ASC TERT1: 4.4;CAPAN-2: 2.8;SCLC-21H: 5.8
CLEC16A	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Nucleus, Vesicles	Expressed in all			Expressed in all		
MSR1	Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins		Tissue enhanced		lung: 187.7	Group enriched	6	BJ hTERT+: 86.3;REH: 37.8
CDH1	Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Golgi apparatus, Plasma membrane, Cell Junctions	Tissue enhanced		parathyroid gland: 475.1	Cell line enhanced		BEWO: 645.6;CAPAN-2: 281.0;HaCaT: 273.9
DCUN1D1	Predicted intracellular proteins	Nucleus, Cytosol	Tissue enriched	13	testis: 391.8	Expressed in all		
RSF1	Predicted intracellular proteins, Predicted secreted proteins	Nucleoplasm	Expressed in all			Expressed in all		
FOXN3	Predicted intracellular proteins, Transcription factors	Nucleus, Plasma membrane	Expressed in all			Mixed		
SZRD1	Predicted intracellular proteins	Nucleoplasm, Cytosol	Expressed in all			Expressed in all		
ITIH4	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Vesicles	Tissue enriched	71	liver: 984.5	Cell line enhanced		HDLM-2: 2.2;U-266/70: 2.1
MSH4	Predicted intracellular proteins		Group enriched	7	epididymis: 2.3;testis: 7.7	Cell line enhanced		AN3-CA: 1.6
ATP11B	Enzymes, Predicted membrane proteins, Transporters	Microtubule organizing center, Cytosol	Expressed in all			Expressed in all		
ALDH18A1	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Mitochondria	Expressed in all			Expressed in all		
TNK2	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
CDH3	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Cell Junctions, Cytosol	Tissue enhanced		skin: 31.9	Cell line enhanced		A-431: 89.4;HaCaT: 243.8;HBEC3-KT: 95.6;hTCEpi: 75.4;RPTEC TERT1: 88.7
VMP1	Predicted intracellular proteins, Predicted membrane proteins	Nucleoli, Endoplasmic reticulum	Expressed in all			Expressed in all		
HAGH	Enzymes, Plasma proteins, Predicted intracellular proteins		Expressed in all			Expressed in all		
DIP2B	Predicted intracellular proteins	Endoplasmic reticulum	Expressed in all			Expressed in all		
THUMPD1	Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
ACTN1	Disease related genes, Plasma proteins, Predicted intracellular proteins	Plasma membrane, Focal adhesion sites	Expressed in all			Mixed		
AFF4	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Nucleus, Nucleoli fibrillar center	Expressed in all			Expressed in all		
P4HA2	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Endoplasmic reticulum, Vesicles	Expressed in all			Mixed		
